[2018-09-17T01:50:23.758] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 0ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-17T01:50:23.992] [INFO] default - [::1 POST /res/filelist 200 125ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-17T03:24:13.304] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/js/0.03451b85932f7956be3b.js.map 200 32ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-17T08:13:14.100] [INFO] default - [::1 POST /res/filelist 200 93ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0]
[2018-09-17T09:12:55.569] [INFO] default - [::ffff:60.191.38.78 GET / 500 0ms][ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0]
[2018-09-17T09:38:36.788] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 16ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-17T09:38:36.929] [INFO] default - [::1 POST /res/filelist 200 94ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-17T10:04:50.929] [INFO] default - [undefined GET /res/verify 304 0ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:51.132] [INFO] default - [::1 POST /res/filelist 200 94ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:52.788] [INFO] default - [undefined GET /codeplay/ 304 0ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:52.850] [INFO] default - [undefined GET /codeplay/static/css/app.e985e0ef6fdd7d0dffcbb9c1492da75b.css 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:52.850] [INFO] default - [undefined GET /codeplay/static/js/vendor.83f6ffb1a8021ef5681c.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:52.866] [INFO] default - [undefined GET /codeplay/static/js/app.6535f0abfcd5b6aff8f8.js 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:52.866] [INFO] default - [undefined GET /codeplay/static/js/manifest.e9120dd61dc9d5f25a6c.js 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.179] [INFO] default - [undefined GET /codeplay/static/js/8.6b66e5363cfc585069df.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.179] [INFO] default - [undefined GET /codeplay/static/js/2.27de9a7ff4adc227b946.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.179] [INFO] default - [undefined GET /codeplay/static/js/0.03451b85932f7956be3b.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.366] [INFO] default - [undefined GET /codeplay/static/1.png 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.366] [INFO] default - [undefined GET /codeplay/static/left-up.png 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.366] [INFO] default - [undefined GET /codeplay/static/right.png 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.366] [INFO] default - [undefined GET /codeplay/static/img/book1.a3bcb0f.png 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.382] [INFO] default - [undefined GET /codeplay/static/img/book3.5c42697.png 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.491] [INFO] default - [::1 POST /res/filelist 200 94ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.569] [INFO] default - [::1 POST /res/filelist 200 172ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.616] [INFO] default - [undefined GET /res/verify 304 219ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.616] [INFO] default - [undefined GET /codeplay/static/img/book2.7c65446.png 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.616] [INFO] default - [undefined GET /codeplay/static/img/shopbook.88b0b0d.png 304 16ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.663] [INFO] default - [undefined GET /codeplay/static/img/book4.ed62f8a.png 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.663] [INFO] default - [undefined GET /codeplay/static/img/qr_code01.1707b53.jpg 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:53.663] [INFO] default - [undefined GET /codeplay/static/img/qr_code02.f1cd7b4.jpg 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:55.163] [INFO] default - [undefined GET /codeplay/ 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:55.257] [INFO] default - [undefined GET /codeplay/static/css/app.e985e0ef6fdd7d0dffcbb9c1492da75b.css 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:55.257] [INFO] default - [undefined GET /codeplay/static/js/manifest.e9120dd61dc9d5f25a6c.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:55.257] [INFO] default - [undefined GET /codeplay/static/js/vendor.83f6ffb1a8021ef5681c.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
[2018-09-17T10:04:55.257] [INFO] default - [undefined GET /codeplay/static/js/app.6535f0abfcd5b6aff8f8.js 304 0ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36]
