[2018-10-08T10:08:29.359] [INFO] default - [undefined GET /codeplay/static/js/0.bf19ce26d35794eea297.js 304 1ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:08:29.421] [INFO] default - [undefined GET /codeplay/static/js/26.18b850e17f472e55125a.js 304 52ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:08:32.430] [INFO] default - [undefined GET /codeplay/static/bianchengwan.ico 200 2ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:08:48.126] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 105ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:08:48.625] [INFO] default - [undefined GET /res/verify 304 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:08:51.580] [INFO] default - [undefined GET /res/verify 304 2ms][http://www.manykit.com/robot/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:04.783] [INFO] default - [::1 POST /res/filelist 200 102ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-10-08T10:09:05.309] [INFO] default - [undefined GET /res/verify 304 3ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-10-08T10:09:40.534] [INFO] default - [undefined GET /codeplay/ 304 1ms][http://www.manykit.com/robot/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.599] [INFO] default - [undefined GET /codeplay/static/css/app.a649fef42bafdf2bbb15d08a50a0367c.css 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.600] [INFO] default - [undefined GET /codeplay/static/js/manifest.485179a94edb86b51237.js 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.601] [INFO] default - [undefined GET /codeplay/static/js/vendor.7c06c1328ce4f4de2f68.js 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.608] [INFO] default - [::1 GET /codeplay/static/js/app.6d7240c714cd7a2a3909.js 304 1ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.840] [INFO] default - [undefined GET /codeplay/static/js/0.bf19ce26d35794eea297.js 304 1ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.852] [INFO] default - [undefined GET /codeplay/static/js/3.111129f77a2eb0217de1.js 304 2ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.854] [INFO] default - [undefined GET /codeplay/static/js/8.09aea27fb209956c5440.js 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:40.988] [INFO] default - [undefined GET /codeplay/static/left-up.png 200 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
